"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"SELENOP",18.893552,25.864186,122.859104,286.875239,151.05435,121.519913,7.151399,2267.223182,7.608291,74.52801
"ITGA1",3.413272,1.988769,497.439938,1.650979,1.38517,232.40347,54.245837,2.219397,9.271766,2.756058
"GZMK",110.977729,38.547357,16.768245,14.264338,8.10888,4.955007,943.091604,4.104245,110.675116,2.097492
"GZMA",100.501968,36.982614,14.978081,14.621467,9.861833,8.029943,980.717063,3.837248,208.979186,2.274585
"IL6ST",115.76219,88.7772,575.81703,102.80836,200.21578,218.04406,68.06904,189.55429,128.46684,173.2424
"MAP1B",30.32452,14.23813,419.25826,27.90015,21.22105,832.65944,17.04625,791.08715,26.40989,643.3908
"EDIL3",0.7863618,0.4537195,64.1468113,1.5175273,0.835772,51.1458729,0.3005859,750.531288,0.6542242,8.231135
"LINC00461",3.167213,3.317423,10.159507,5.569095,3.211378,39.597374,2.390465,36.806163,5.490121,217.056047
"MEF2C",258.89175,396.73002,230.35188,367.02725,627.92296,129.38455,12.09922,17.9611,11.17796,46.78026
"RHOBTB3",11.866729,24.660371,43.827135,60.291641,49.132171,281.434433,8.374638,237.137862,15.289675,366.661829
"SLC12A2",13.614105,13.928787,153.44909,10.633486,9.538672,74.636852,10.037808,406.4586,11.371567,35.48967
"IRF1",288.71086,166.92652,89.38175,96.74118,65.64679,73.07766,293.91889,185.86703,280.35961,33.41653
"TGFBI",31.13426,190.76576,21.88699,715.4691,323.07805,260.85846,19.47,15.42133,16.87178,32.3822
"SPOCK1",0.4204721,0.9952156,3.1564122,1.6995746,0.8111324,28.6064089,0.7185776,272.9671843,1.5454913,44.0371625
"MZB1",2264.4155645,5.363932,3.0838168,1.2788024,0.6461638,0.8316946,14.4247048,0.3458829,21.8232299,0.4055485
"ECSCR",0.1182601,0.5805365,378.7541629,0.5225027,0.3657833,4.7747623,0.6964956,0.2221456,1.309028,0.3533216
"CD14",78.94325,399.14222,36.46202,1091.41692,1359.36853,35.26438,22.63452,27.60445,22.88222,16.5711
"CSF1R",31.143796,280.01513,17.435833,382.357836,571.255252,15.891863,9.820421,12.388137,7.727003,6.561362
"CD74",2140.4396,13411.6205,381.3292,5781.3928,7226.0167,181.3642,541.5444,191.2427,395.2764,115.3329
