"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"ROBO4","  1.4126419","  1.9293914","569.3652874","  0.3771816","  1.7814187","  2.3881629","  0.2225676","  1.5800061","  0.1630701","  0.4262531"
"FEZ1","   6.150755","   2.448225","  34.045300","   3.195366","   7.120253","  63.767856","   4.730081","1098.671444","   5.754359"," 296.289335"
"ETS1"," 35.121515","  9.787879","172.621438","  5.434275","  7.796198"," 38.753425","215.128935"," 15.102998","152.305606","  8.828823"
"CCND2"," 126.0074"," 105.1631"," 204.5622","  26.7530","  51.3648"," 185.3972"," 195.0727"," 122.4629"," 161.6921","1162.0661"
"VWF","   2.9398971","   2.1317380","1929.2922820","   1.0866842","   0.5973846","   7.5306446","   5.4325980","   6.2328538","   4.1797809","   0.3705007"
"C1S","  2.9475363","  2.2161274"," 14.8751752","  0.8941838","  1.0066054","582.5770035","  2.2196701"," 17.9259486","  1.3300878"," 11.8560951"
"C1R","  6.123910","  2.603057"," 29.866211","  2.637947","  1.857647","509.472306","  2.473646"," 45.969167","  1.966763"," 92.728694"
"CD163","  56.459997"," 358.170720","  46.792362","1166.477560"," 598.732720","  29.604010","  27.021438","  45.469555","  19.315060","   8.868371"
"A2M","  49.83054"," 250.65772","4484.43661","1157.61572","1357.85586"," 250.72698","  38.53595","  74.24424","  19.78257"," 112.94977"
"CD69"," 360.863199"," 127.404192","  31.393809","  27.969233"," 157.796191","   7.865017","1049.139850","  29.516765","1064.120341","   2.196448"
"CLEC2B"," 47.54430","148.84578","106.35364","154.46317"," 96.21124","101.29374","396.31766"," 21.50065","140.24429"," 15.55297"
"CLEC7A"," 13.1088784","210.5398094"," 14.4087223","155.4244067","194.7010579","  6.5851041","  8.4512688","  4.6461238","  8.9193638","  0.8610947"
"OLR1"," 34.923369","142.176480"," 38.300705","313.621269","760.810045"," 19.743979"," 12.369378"," 28.335755","  9.746301","  4.956203"
"APOLD1","  4.0169905","  2.2876257","379.5009275","  0.7669970","  0.5903427"," 25.1441075","  5.2530116","  3.7490721","  6.2222842","  1.8919915"
"MGP","  13.268395","   6.824979"," 666.067158","   2.342227","   7.554250","2786.205434","  14.104428","  58.378193","   6.669069","  24.710971"
"ARHGDIB","294.972480","660.517580","421.992513","506.831718","492.328814"," 75.889087","903.178807"," 34.162289","696.376250","  9.806634"
"BHLHE41","  96.089653"," 394.838228","  39.352896"," 301.094480","1023.169064","  65.446756","   9.557506"," 505.415988","   7.732109","  45.736558"
"TUBA1A"," 136.4830"," 200.5246"," 383.8621"," 103.8923"," 115.4501"," 539.6533"," 247.6004","2470.1917"," 182.1092","5152.8155"
"CPM"," 30.463800","103.661803","102.110414","855.915994","592.298354","105.746396"," 11.663086","149.707326","  8.040437"," 20.243950"
"LYZ"," 112.499721","1627.839756","  71.958535"," 990.688516"," 205.392868","  24.694966","  65.913125","  25.837578","  41.965849","   2.780476"
"KCNMB4","  0.8356091","  1.4393729"," 16.9536843","  0.6736159","  1.6650070","  4.2469174","  0.1472642","257.2920190","  0.6107691"," 28.3173171"
"PTPRB"," 0.10525101"," 0.03742924","66.64200728"," 0.03644758"," 0.05861721"," 0.19585116"," 0.00000000"," 0.49596845"," 0.00000000"," 0.20139500"
"LUM","  0.01261665","  0.38842000"," 12.43518369","  0.33441640","  1.17407026","710.61818447","  0.33915480","  3.15477110","  0.26963460","  0.33565648"
"DCN","   1.018971","   1.346192"," 195.213668","   1.664027","   3.807331","5066.507652","   2.171414","  61.706865","   2.513803","  20.300798"
"BTG1"," 738.1606"," 555.6073"," 493.6146"," 330.5036"," 385.2232"," 201.5209","1764.7411"," 136.1575","1606.3607"," 101.6869"
"AMER2","  0.2528744","  0.0223441","  2.0324701","  0.2656109","  0.2208712","  3.1878053","  0.1147622","256.6419604","  0.1107924"," 12.9500831"
"FLT1","  1.16582667","  9.35187221","500.58785685","  1.18404983","  2.72958873","  3.31371243","  0.82596979","  0.21491126","  0.29359707","  0.05855012"
"ALOX5AP"," 101.83812"," 729.00123","  52.55101"," 881.27975","1086.28719","  48.62644"," 299.38012","  36.38859"," 265.99186","  13.15176"
"RGCC","  76.47972"," 435.14764","2892.40034"," 180.48899"," 376.46323","  83.77293"," 362.23840"," 500.68775"," 301.84682"," 124.36498"
"TSC22D1","  18.04926","  16.36436","1468.85125","  24.22991","  22.41433"," 338.73973","  27.54428"," 416.80052","  17.73704"," 395.61583"
"LCP1","160.309044","571.133427"," 33.145907","184.534504","142.683669","  6.522357","684.051938"," 38.339981","328.409258","  3.112481"
"PCDH9","  5.5479062","  0.3072824","  4.4628919","  0.2893954","  0.5094071"," 11.1267988","  0.7974630","174.4109458","  0.8753962"," 40.8842400"
"SLAIN1","  6.032231","  2.245203"," 10.597014","  1.309660","  1.292036","  8.113439","  9.945312","685.749313"," 10.553919"," 66.496835"
"DOCK9","  2.53651712","  0.77747613","575.59835129","  0.07952141","  0.71294557"," 15.60251439"," 14.71243896"," 98.95073300"," 21.55332172","  1.32185422"
"GPR183"," 84.166012","226.138477"," 15.071889","108.948201","165.559413","  9.946027"," 83.326140","  6.362431","134.993238","  2.033487"
"COL4A1","   3.0807139","   1.0422782","1237.8072087","   0.9633777","   1.5217841"," 538.1674817","   0.8432935","   5.3843791","   1.0335874","  40.9763700"
"COL4A2","   3.2293392","   1.7051978","1904.2421431","   2.4825432","   3.4861259"," 897.3529178","   1.8522970","   9.2695579","   0.1256266"," 112.3142949"
"RNASE6"," 46.154773","202.675000","  7.289065","164.278740","141.097992","  5.879672","  4.375509","  5.278331","  6.784139","  1.397106"
"RNASE1","  45.78055","  59.58921"," 418.52467","1536.73076"," 252.79639","  42.97332","  46.28673"," 889.51875","  36.60441","  35.07282"
"TRAC"," 53.725871"," 18.692306"," 11.465860","  2.618125","  3.181352"," 11.485435","540.423641"," 10.153181","368.626096","  4.396236"
"GZMH"," 22.5091032"," 13.2418147","  7.1845032","  2.8327869","  3.6629141","  2.1316410","965.4504801"," 16.8371816"," 15.1976427","  1.8516950"
"NOVA1"," 19.244903","  5.045843","128.006870","  5.726124","  6.510468","147.788712","  5.978218","264.845460"," 11.836943","881.494692"
"CLEC14A","  0.09604468","  0.08194532","155.79497702","  0.00000000","  0.05426326","  0.82192544","  0.02012765","  1.76429447","  0.06888605","  0.12451236"
"LGALS3","  60.81143"," 181.94723"," 123.34317"," 796.82970"," 128.08774"," 494.49720"," 133.52822"," 204.20483"," 129.35539","1051.82492"
"LGMN"," 35.99450"," 58.66768"," 63.88366","786.10244","334.26216"," 58.67262"," 14.16466"," 58.87939"," 11.63710"," 41.43712"
"IFI27","  28.85684","  28.97203","2590.92631"," 259.05119"," 116.14034"," 234.87194","  24.79597","  30.93519","  15.60379"," 130.44699"
"PPP2R5C","120.67061"," 91.42355","109.87040"," 90.48659"," 90.08348"," 73.40399","629.72491","114.12931","406.37509"," 78.28623"
"CKB","  21.24853","  62.78373","  94.83981","  29.68872","  94.76351"," 201.77503","  21.28387"," 630.15762","  37.74696","2784.88538"
"CRIP1","183.708635","221.873337"," 62.621849"," 28.734099","  5.823900","134.535257","332.168290","  8.668369","320.242647","  5.466005"
"CYFIP1"," 24.59578","127.90479","186.69798","409.36169","673.36001"," 87.35429"," 16.54652"," 58.80105"," 12.20035","117.41478"
"GLDN","  8.740735"," 42.630554","  5.395276","168.660038","383.395919","  6.684687","  3.866461","199.709699","  3.784187","  2.909809"
"TPM1"," 13.23958"," 23.11626","390.81215"," 26.57883"," 23.19144","664.69192"," 11.52432"," 59.51132"," 16.08096"," 73.78107"
"LARP6","   1.9812110","   0.5083125","  26.1763523","   0.6312388","   1.0722404","  71.2091734","   1.3481795","1121.3464822","   2.4383934","  39.5464591"
"TSPAN3"," 27.26329"," 35.26502"," 70.17840"," 37.63348"," 38.01064"," 74.45248"," 17.05394"," 98.99633"," 10.51296","226.61229"
"CTSH","137.848589","465.790052"," 56.752730","299.510643","244.306202"," 23.763226"," 17.536008"," 13.300469"," 45.380260","  6.136932"
"ISG20","333.039001","150.190400"," 56.561677"," 21.144184"," 11.881940"," 48.193036","539.336157","237.110388","308.960353"," 16.499982"
"METRN","  74.61992","  30.23742"," 105.14026","  33.96163","  32.37994"," 259.45004","  53.80406"," 383.50772","  53.37928","2869.21750"
"SLC9A3R2","  1.834882","  2.032970","547.808743","  2.375291","  2.789535"," 19.227727","  1.559602"," 12.195600","  1.772122"," 22.252593"
"IL32","  86.110124","  59.732085"," 241.102486","   9.936237","   8.444138","  48.951397","1466.711217","  19.993588"," 985.236748","   7.065478"
"CIITA"," 39.3864492","143.9254965","  3.4134814"," 52.1761849"," 40.7176458","  0.7706504","  6.5587340","  7.2093584","  2.1010328","  0.5623454"
"LITAF","112.65178","635.34154"," 67.68634","349.67132","296.14507","113.80494","306.47992","303.64537","167.54916"," 86.01518"
"GPRC5B","  2.4294709","  1.0503894"," 26.4617916","  1.3454789","  1.2521871"," 21.4129604","  0.3117104","534.4119857","  1.2694311"," 65.1046082"
"IGSF6"," 12.878080","183.221894"," 10.478687","262.560550","305.486926","  6.693322","  6.003077","  8.516509","  3.593942","  3.287350"
"CORO1A","251.82736","393.64541"," 26.36760","220.19627","302.06096"," 12.70072","864.99873"," 40.92973","591.86967"," 12.78872"
"PYCARD"," 54.822850","319.347514"," 38.670325","330.060053","281.762798"," 25.425401","103.032980"," 15.090785"," 52.606090","  5.103684"
"MT3","  49.51581","  64.93597"," 325.41531","  76.23364","  91.65946"," 926.93880","  72.95115","1640.65797"," 108.11962","5691.13923"
"HERPUD1","969.10484","734.80381","550.73197","489.79690","499.79998","198.92511","482.85519","140.03227","224.19100"," 40.96347"
"CDH11","  3.79754945","  0.35079114","307.25896660","  0.09065451","  1.47617923","376.36511204","  1.20623580"," 31.76124579","  1.16453450"," 32.30117552"
"CDH5","  0.51007195","  0.16123797","166.00799098","  0.09266276","  0.00000000","  0.76918818","  0.31182140","  0.80429020","  0.27463005","  0.51361741"
"COTL1","110.75123","683.12188","182.43444","324.12404","328.51865","107.90537","335.85299"," 40.64860","189.86387"," 59.09930"
"CYBA","1001.47968","1617.27257"," 568.41784","1948.85118","1711.06309"," 250.23929","1208.27259","  87.08721"," 797.93810","  43.45575"
"ACAP1","110.166441"," 70.813676"," 13.629613"," 10.625076","  5.708266"," 18.279725","453.860088"," 32.204771","296.241066","  2.240018"
"CD68"," 26.381560","118.557208"," 15.657818","525.502323","290.925632"," 24.287549"," 16.176511"," 15.664124","  9.437830","  5.962952"
"ATP1B2","  7.314745","  2.823368"," 26.127874","  4.317034","  5.350725"," 82.832923","  7.863325"," 78.220512","  5.933159","584.910695"
"CCL5","  69.413391","  43.096102","  41.977778","  17.802727","  62.911222","  21.588153","2563.514070","  43.341600"," 132.935140","   4.796167"
"CCL3"," 127.54182"," 597.38282"," 136.15773","1206.55427","4561.59258"," 193.50650"," 187.67627"," 172.70435","  48.03287","  24.86856"
"CCL4"," 250.38881"," 441.92596"," 158.09750"," 866.74670","3510.12475"," 140.99725","4293.73953"," 166.80025","  87.56455","  27.32535"
