"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"SLC38A5",16.007978,2.513393,604.918629,4.192136,1.981425,11.858527,11.132807,1.820809,9.244897,5.127345
"PCSK1N",28.073118,10.524949,29.480136,19.166244,8.596127,169.60896,20.86736,250.271737,42.568923,949.890891
"PIM2",128.427107,14.691263,3.179253,5.33004,4.257751,2.798279,33.341784,2.324426,78.217612,4.319137
"MAGED1",5.932388,2.561665,21.191374,3.487045,3.132463,33.069232,4.523965,17.077904,4.450114,67.082628
"VSIG4",11.333272,93.768592,7.756517,188.218175,290.860072,8.890657,7.037219,8.994079,5.987142,4.301229
"IL2RG",107.670061,90.0087,10.162652,35.999762,17.411486,4.357396,327.58423,5.65187,325.141325,2.975802
"ITM2A",38.118593,9.410979,2394.348836,5.470193,3.952722,22.551597,316.308857,47.751417,219.68503,18.015895
"BEX1",13.240404,3.534116,12.863294,8.412321,4.316447,52.94657,9.267655,290.552513,19.327311,369.766886
"PLP1",10.10825,10.12466,62.9563,27.77981,20.68964,75.89204,15.6766,25017.214,12.80752,272.93015
"TSC22D3",951.2671,801.0871,555.3372,638.6088,646.3826,331.8064,1688.2426,185.0902,2074.2144,118.1207
"IL13RA1",17.126159,147.773645,89.301874,113.450637,131.332545,26.368125,4.910488,13.282941,4.955207,18.900319
"PGRMC1",9.096144,13.892239,48.120591,17.844227,18.291306,63.940073,13.352185,161.309218,13.287234,135.287245
"LAMP2",21.98519,46.25348,65.67639,82.02121,80.71005,59.94307,25.72344,532.77203,24.83961,83.45123
"SH2D1A",17.251053,8.800993,4.995732,3.323504,2.21023,1.341025,358.100422,4.167401,153.38802,2.292213
"APLN",0.2083402,0.3245501,173.0888349,0.4974601,0.2154022,1.3651351,0.2703873,3.3950713,0.3345143,4.688229
"BGN",0.4689303,0.3606326,93.7495699,1.1006046,0.8907266,324.5746944,0.5326234,3.2429085,0.9783641,11.5478819
"RARRES3",46.84821,27.04754,10.0581,22.25268,15.88613,20.10265,494.40133,261.01469,236.21107,27.54487
"KIAA1551",87.842801,70.633373,23.134809,59.530189,43.227717,6.047808,385.932637,40.205342,260.07902,19.467725
"SEPT4",0.6931893,0.04466567,1.58138133,1.04616647,0.29038888,3.614013,0.69581253,234.03942174,0.56973579,3.78488917
