"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CDKN1C",-0.6816656,-0.5283075,-0.4202159,-0.4680492,-0.4047611,-0.4088762,-0.4513398,5.3763192,-0.478314,0.2289499
"RHOG",-0.4492815,0.64314578,-0.34016317,0.53880356,0.5326043,-0.45670393,0.01517655,0.22066096,0.09280648,-0.52730666
"CD59",-0.35264763,-0.24616673,4.13449377,-0.0785331,0.01371848,1.20287236,-0.432228,0.69275559,-0.38264407,0.0580247
"LMO2",-0.52768716,-0.07282579,3.00017729,-0.09253724,0.22669991,-0.18931608,-0.43723519,-0.50206446,-0.48379951,0.0976016
"CD44",-0.25069919,-0.15676288,-0.90725523,0.9838806,-0.38177756,-0.08536317,1.04308426,-0.62296711,0.76041155,-0.45664962
"MDK",-1.0659659,-1.0973855,-0.6349608,-0.9866674,-1.0328784,0.2390513,-0.8042729,-0.6354704,-0.8109566,1.2654708
"SPI1",-0.6110931,1.233055,-0.6805747,1.0861701,0.9174545,-0.7617203,-0.5533249,-0.7086659,-0.6063289,-0.7636402
"MS4A6A",-0.9869937,2.1159251,-1.1269913,1.5084755,1.7969795,-1.1757589,-0.9804782,-1.1125823,-1.0791371,-1.2332039
"MS4A4A",-0.6964598,-0.115981,-0.7612195,1.0384988,1.1381373,-0.7738282,-0.6189046,-0.7076577,-0.6848591,-0.808687
"MS4A7",-1.161836,0.215417,-1.269078,1.620225,2.122385,-1.270632,-1.128877,-1.209089,-1.2315,-1.344513
"MYRF",-0.3241342,-0.3401179,-0.2462643,-0.3123144,-0.3240813,-0.3115545,-0.2322176,10.4047344,-0.2414251,-0.1332198
"EEF1G",-0.5049994,0.5184603,-0.1031543,0.2586227,0.5453586,0.6786933,-0.7668551,-1.0796259,-0.5794282,-0.1272134
"PPP1R14B",-0.62325715,-0.4563159,-0.26221754,-0.5046907,-0.57736545,-0.07758406,-0.17835796,-0.66706003,-0.43905198,0.65359965
"CCDC85B",-0.39922183,-0.23809128,2.16578307,-0.26569092,-0.23926174,-0.07819778,0.2188867,-0.16067947,0.1673227,0.21470781
"CARNS1",-0.3005283,-0.3331197,-0.2397609,-0.2984409,-0.2968996,-0.312083,-0.1946393,12.2658663,-0.1869315,-0.2711612
"PLEKHB1",-0.47459561,-0.52514713,-0.43532972,-0.46942285,-0.44621141,-0.39621944,-0.32047495,5.17643195,-0.30962025,0.34587766
"UCP2",0.001496707,1.183522929,-0.603779006,0.503151754,0.521843235,-0.65578928,0.447448608,-0.562304704,0.506266875,-0.59572114
"SLCO2B1",-0.7949234,-0.3282789,0.2612122,0.9411044,1.5951059,-0.8448546,-0.7445462,-0.7709058,-0.822998,-0.9166841
"SERPINH1",-0.24966576,-0.23181196,3.2782916,-0.07629287,-0.27236366,4.50307756,-0.28642389,-0.39072282,-0.24446995,0.09685192
"CRYAB",-1.51395,-1.5178119,-1.2234679,-1.3198674,-1.4688506,0.5556891,-1.2674055,20.2729664,-1.2224592,0.9507598
"IL18",-0.7426323,1.2980651,-0.7575133,0.7492332,1.5177589,-0.8001575,-0.6247236,-0.7399397,-0.7067612,-0.831875
"NCAM1",-0.7845765,-0.8280493,-0.7219933,-0.7963694,-0.8217354,-0.5161676,-0.5857835,2.1526396,-0.6684525,0.8761266
"TAGLN",-0.67148886,-0.66723094,2.47949089,-0.63256669,-0.64693502,25.9566961,-0.58018366,-0.50525162,-0.61799867,-0.01870326
"FXYD6",-0.9320626,-0.970787,-0.6899513,-0.8616716,-0.9095839,-0.5385336,-0.702269,-0.4467788,-0.7234425,1.0586785
"CD3E",-0.181489,-0.504197,-0.6959919,-0.6633759,-0.7233597,-0.7227066,5.5831852,-0.6452318,5.7440947,-0.7560873
"CD3D",-0.2854339,-0.7298236,-1.007005,-0.9205497,-0.972774,-0.9753291,8.0350623,-0.9123554,7.476105,-1.0302023
"CD3G",-0.2466225,-0.5415349,-0.6603322,-0.6168198,-0.644788,-0.6479664,5.5643617,-0.6037619,4.7621117,-0.682027
"ARHGEF12",-0.3272073,-0.291628,3.107313,-0.2521184,-0.2652055,0.780568,-0.1920497,0.0651659,-0.1250339,0.2332459
"SORL1",-0.7330777,0.14219171,-0.81876657,0.36663671,1.40503084,-0.76315742,-0.37437203,0.07216124,-0.38454705,-0.67641163
"ESAM",-0.1940289,-0.1841467,27.4812645,-0.1884568,-0.2010722,1.2574256,-0.1829933,-0.1643765,-0.1772901,-0.1851727
"ROBO4",-0.16961743,-0.11011051,24.94593658,-0.15512317,-0.15989582,-0.04042356,-0.1725054,-0.14525622,-0.18638568,-0.14392847
"FEZ1",-0.8172586,-0.8538346,-0.5955357,-0.7833996,-0.8032015,-0.4048932,-0.5941735,5.7043125,-0.628859,0.7107927
"ETS1",0.1612057,-0.5220677,3.3495379,-0.5455102,-0.5663061,0.4637141,3.7806682,-0.5348883,3.7109515,-0.4947499
"CCND2",-0.7512159,-0.9205511,-0.6559794,-1.087473,-1.0763486,-0.6837626,-0.4519927,-0.8988512,-0.3303371,1.2809856
"VWF",-0.167568711,-0.201009573,36.898067517,-0.178822356,-0.248686069,-0.008382573,-0.199364357,-0.112367156,-0.210690087,-0.262378279
"PTMS",-0.91145083,-0.53513595,0.06176322,-0.59934819,-0.59475988,0.59368686,-0.59208389,-0.65195297,-0.71490619,0.73286467
"C12orf57",-0.2052289,-0.44973,0.3974161,-0.4947283,-0.3754268,0.7420163,0.4101812,-0.2918931,0.5226774,0.2770734
"C1R",-0.4833333,-0.5511458,-0.3057142,-0.4989342,-0.5436694,3.910107,-0.4001692,-0.2084538,-0.4543202,0.5884039
"CD163",-1.2472664,0.0630293,-1.4195641,2.6304676,1.3941662,-1.385109,-1.2800611,-1.3023929,-1.3734928,-1.4837421
"C3AR1",-0.61255335,0.03728029,-0.65073387,0.71048128,1.23741267,-0.69361735,-0.49056462,-0.63418367,-0.48393355,-0.72121283
"A2M",-1.1555146,-0.58517,9.9991407,0.4901439,2.0616517,-0.2573344,-1.1107047,-1.0764213,-1.215763,-0.9155126
"CD69",2.00944393,-0.01782926,-1.30215231,-0.65141563,-0.11922437,-1.22246418,5.43436229,-1.09405193,7.49116962,-1.32200492
"CLEC2B",-0.361652064,0.422865227,0.002543855,0.391681562,0.105130421,-0.215892072,1.693066777,-0.671110695,0.474111436,-0.486239131
"CLEC7A",-0.6756509,1.205644,-0.6969919,0.9999799,1.0686828,-0.7460612,-0.590581,-0.6906601,-0.5151653,-0.788003
"OLR1",-0.9657517,-0.3230111,-1.0257984,0.9938317,2.1655046,-1.0207673,-0.9345629,-0.9689714,-1.0194284,-1.1148678
"YBX3",-0.1807078,0.1932119,0.7746864,0.4415375,0.1502681,0.3524795,-0.3105112,-0.5766579,-0.5943473,-0.1367313
"APOLD1",-0.152830486,-0.25802368,16.916264189,-0.309284543,-0.328457811,1.561889309,-0.030316071,-0.200368326,-0.008415735,-0.168747816
"MGP",-0.9123831,-0.9341774,7.5266954,-0.9095785,-0.9121551,23.5592201,-0.7867221,-0.3461059,-0.8440668,0.2514992
"ARHGDIB",-0.02238025,1.36737702,0.27161383,0.69953805,0.73630819,-0.66938442,1.65283994,-1.0177339,1.67044055,-1.10967744
"EPS8",-0.41335867,-0.13779411,0.83847508,0.02545215,0.17600079,1.88761656,-0.14652726,0.27175855,-0.22346803,-0.15248764
"LDHB",-0.65470431,-0.56225339,-0.30756815,-0.63307126,-0.61163729,0.05091525,-0.15709769,-0.38824309,0.16202337,0.59058433
"BHLHE41",-0.6065718,0.4438173,-0.8788326,0.1520616,2.023256,-0.7680249,-0.7895482,0.7539008,-0.846325,-0.7640239
"PPFIBP1",-0.39599397,-0.38867738,2.68432586,-0.34759726,-0.40342226,1.41518869,-0.27073685,0.99819853,-0.2963277,0.3487285
"SLC48A1",-0.30718345,-0.28863492,-0.10682063,-0.14091658,-0.21233365,-0.21692868,-0.21363347,4.95169214,-0.21965484,-0.00579048
"TUBA1A",-2.646892,-2.507823,-1.90122,-2.574713,-2.601757,-1.40012,-2.14077,1.476418,-2.123117,3.112087
"LIMA1",-0.8247767,-0.7117049,-0.1617802,-0.7706474,-0.7731557,0.1628394,-0.5515462,-0.3242511,-0.5209655,0.9232806
"NR4A1",0.05581585,0.64527471,-0.19762919,0.6916839,1.44233393,-0.3060729,-0.51560782,-0.70118932,-0.48861505,-0.87049335
"CBX5",-0.53279814,-0.51408605,-0.12743345,-0.54490666,-0.53584146,-0.16759415,-0.31802334,0.08280972,-0.33280872,0.51550433
"MYL6B",-0.50096561,-0.54287519,-0.34863083,-0.47879107,-0.49732389,0.02992925,-0.37768081,-0.22903334,-0.37946333,0.6056091
"CDK4",-0.6088596,-0.606313,-0.2814572,-0.5554419,-0.568409,-0.2393655,-0.4400435,-0.3410728,-0.4349101,0.6717554
"RAP1B",-0.1875193,0.22571408,0.25926444,0.06500155,-0.06717733,-0.02880679,0.75248161,-0.10853644,0.66713149,-0.17829164
"CPM",-0.9367122,-0.5501276,-0.5947064,1.0265447,1.5333815,-0.3570803,-0.8702122,-0.3463927,-0.9201832,-0.904162
"LYZ",-1.4534606,5.7083061,-1.7634951,5.3460822,-0.3711592,-1.8706286,-1.7116105,-1.8166711,-1.8112513,-1.9258159
"CCT2",-1.0661811,-0.9335728,-0.509922,-0.9369337,-0.9784724,-0.712074,-0.7140083,-0.8528646,-0.7445857,1.3430222
"KCNMB4",-0.58081279,-0.56584396,0.04043402,-0.53150475,-0.5352965,-0.43098861,-0.39991128,9.47936934,-0.42708712,0.20115184
"PTPRB",-0.138017694,-0.158270209,22.198937856,-0.134217791,-0.148607502,-0.027631063,-0.157484579,-0.009340278,-0.171751041,-0.13621332
"GLIPR1",-0.2422601,0.9742274,-0.6347593,0.5681211,0.4712869,0.2012111,0.2197912,-0.6158854,0.2493039,-0.530665
"PHLDA1",-0.9666133,-1.0127573,-0.516439,-0.6163319,-0.7777824,0.2467261,-0.7016797,-0.7462585,-0.3160725,0.9561103
"DCN",-0.72593081,-0.73864846,3.05159108,-0.67007151,-0.63039103,36.77452171,-0.58161834,0.06090775,-0.60581085,-0.45445524
"BTG1",0.9019153,0.4170328,-0.0375937,0.304735,-0.1605071,-0.7998672,3.0710946,-1.1283113,3.7739537,-0.8931784
"ANKS1B",-0.34212962,-0.34504279,-0.27256236,-0.33363882,-0.34078585,-0.23284263,-0.18361302,7.84171331,-0.13779279,0.01286003
"ALDH2",-0.50883,1.14970896,-0.2692079,0.43955,0.44234551,-0.41055303,-0.44030919,-0.33992792,-0.49376051,-0.25754041
"CDK2AP1",-0.70500464,-0.3005269,0.44911406,-0.44112947,-0.3399787,0.02031125,-0.50649729,-0.08003181,-0.54258448,0.52756939
"AMER2",-0.6124616,-0.6321309,-0.4528684,-0.5816419,-0.5933907,-0.5521892,-0.4403369,12.6243232,-0.4591486,0.1139258
"FLT1",-0.33070982,0.25545715,23.85003484,0.4374673,-0.11109275,-0.05046216,-0.34558386,-0.33463085,-0.35100277,-0.39275683
"ALOX5AP",-1.2018423,0.904906,-1.2735485,1.5284229,2.0657351,-1.4564258,-0.5298487,-1.4206244,-0.483843,-1.4783444
"N4BP2L2",-0.08925949,-0.07789028,0.02784915,-0.09397116,-0.03270429,-0.02328104,0.58369523,0.25476153,0.4734607,-0.05737339
"LHFPL6",-0.48386033,-0.48096772,1.70821264,-0.45891462,-0.48187324,4.21660349,-0.34618651,0.08996772,-0.37117345,0.40235857
"ELF1",0.11740494,0.28408748,0.20056413,0.29696976,0.38797808,-0.4112673,0.92018867,-0.05144403,0.91212467,-0.56863573
"RGCC",-0.7788114,0.9050047,9.5469023,0.6837908,0.4950707,-0.7884073,0.1630521,0.7152498,0.4355702,-0.7744341
"DNAJC15",-0.28750109,0.09719404,0.3404522,-0.04769653,-0.09111026,0.46468263,-0.06336685,-0.07822338,-0.06760386,0.04471787
"TSC22D1",-1.0081506,-1.0318395,4.5314905,-0.9206564,-0.9801989,0.6755565,-0.7301005,0.6318038,-0.7776599,1.1101015
"LCP1",-0.01036431,2.55090259,-0.89576986,1.082522,-0.02244515,-0.97639345,2.43706836,-0.83109362,1.41299505,-1.01697379
"PCDH9",-0.8662884,-1.0459771,-0.8692889,-0.9852261,-1.0208138,-0.5265852,-0.8312688,6.1274215,-0.855303,1.039359
"COMMD6",-0.261629948,0.372105868,-0.294128258,0.002442813,0.071995292,0.051117167,0.342882477,-0.407935415,0.489756975,-0.090835763
"KCTD12",-0.86322529,0.80442849,0.01526472,1.159932,1.27693286,-0.79751013,-0.83083637,-0.87961566,-0.91370607,-0.87093772
"SLAIN1",-0.538659,-0.5731112,-0.415697,-0.5459181,-0.5562335,-0.4829085,-0.317713,8.7509444,-0.325276,0.2045715
"DOCK9",-0.17848579,-0.23770758,14.67974211,-0.22931598,-0.24848016,0.00981566,0.12475101,2.57539544,0.22413262,-0.15135063
"GPR183",-0.03500332,2.03145551,-1.03201102,1.15705455,1.28419576,-1.04644494,-0.24349928,-1.04879805,0.48674274,-1.1340731
"TMTC4",-0.262494392,-0.250081917,0.349335429,-0.230766081,-0.252480597,-0.224752704,-0.157459031,5.371421435,-0.156167107,0.012611552
"COL4A1",-0.66271417,-0.71080871,25.06426581,-0.65066556,-0.68120497,15.85455132,-0.58547739,-0.57257775,-0.62102449,0.01646007
"COL4A2",-0.5762557,-0.5966023,17.4999889,-0.5430859,-0.5654567,9.8244414,-0.4548753,-0.455503,-0.4988453,0.1308837
"RNASE6",-0.2797149,1.5323735,-0.6059527,0.8842819,0.9511912,-0.7028446,-0.4787526,-0.6504982,-0.5420175,-0.7057891
"TRAC",0.1707907,-0.5575968,-0.8433628,-0.7959797,-0.8704971,-0.7299433,5.451137,-0.7791743,7.7158427,-0.8680685
