"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"CCL3"," 294.56526"," 907.07055"," 122.96170","2051.63370","7380.14992"," 325.30413"," 169.85232"," 141.15847","  52.70877","  30.53870"
"CCL4"," 480.68661"," 609.16287"," 121.70490","1198.25919","4918.66050"," 174.82313","3079.76153"," 108.31278","  66.80920","  26.95645"
"CCL3L1","  61.063544"," 257.443425","  53.930692"," 378.822714","2294.410373"," 111.138286","  38.997421","  67.913236","  15.642049","   8.208176"
"CCL4L2","  74.67941"," 193.25175","  51.59426"," 401.67870","1774.58588"," 114.08667"," 131.40706","  48.33101","  13.81788","  10.33284"
"IGFBP4","  4.672596","  5.871081","280.623809"," 35.296903","  6.178758","874.674602","  6.125764","  4.633663","  7.898303","  9.825053"
"FKBP10","  1.4919708","  0.7176717"," 86.6098712","  0.7646673","  1.9077475","332.3605433","  0.6682945"," 10.9744187","  1.5249580","126.5739612"
"CNP","  25.37081","  24.27861","  35.63323","  29.05991","  30.04912","  50.42442","  10.64509","1033.49327","  10.07240"," 101.92794"
"CAVIN1","  1.5454201","  2.7706704","368.3336322"," 11.3339425","  2.7226732","263.0640655","  0.7744583"," 79.2376735","  1.8273096"," 56.5058409"
"RAMP2","  2.7225032","  0.6030206","509.3100711","  0.4784168","  0.9034212"," 31.1801597","  0.1319543","  6.1714497","  1.0154616"," 40.3790395"
"GRN"," 143.35057"," 564.97124"," 304.64195","1758.53578"," 592.50474"," 165.64587","  22.89094","  55.67115","  28.39122","  83.02875"
"GFAP"," 26.48604"," 22.90597"," 95.00288"," 34.52570"," 32.17232","108.84130"," 14.22361","221.74059"," 10.15746","562.57576"
"PHB"," 72.16599","110.33499","107.06285","124.83063","119.09729","149.91734"," 59.52290","102.48674"," 59.36392","361.46942"
"COL1A1","   3.933018","   3.492112","  47.277238","   2.202023","   1.674178","8957.357485","   1.572796","   3.973101","   3.805844","   2.655176"
"TOB1"," 32.62039"," 61.31523"," 29.29481"," 27.43593"," 48.37470"," 36.54906","132.86668"," 51.79393","280.13225"," 30.74970"
"NME1","101.94240"," 91.21205"," 99.05638"," 91.36873"," 92.31242","257.52367"," 29.95604","106.04614"," 37.75366","642.16269"
"NME2"," 231.75179"," 436.32273"," 390.21786"," 502.18595"," 580.81024","1261.72618","  49.76244"," 178.62649"," 116.60472"," 282.75829"
"PECAM1"," 95.1076438"," 65.1441767","900.2587597","135.6910168"," 71.4858172","  4.8229765"," 20.0216554","  1.3800344","  3.2594580","  0.7610234"
"SOX9","  2.554937","  2.204935","  8.570091","  3.586263","  5.294124"," 43.849966","  2.031654"," 51.075551","  1.622018","388.404058"
"SEC14L1","177.40056","127.85635","593.30096","150.98855","201.80512"," 71.66055"," 26.06405"," 72.85871"," 38.80903","133.47525"
"SYNGR2"," 88.86389","260.90668"," 70.29609","287.12354","234.83304"," 13.19915"," 28.77622","102.66559"," 28.19586"," 11.12342"
"GAA"," 17.231487"," 71.039422"," 39.292630","295.897927","203.151048"," 34.509337","  7.527081"," 19.008544","  8.033125"," 25.654201"
"RNF213","210.63719","160.16847","139.66738","270.52836","277.06002","121.54848","323.00316","101.67141","166.83628"," 49.24563"
"AATK","  2.0190702","  4.0870890"," 13.4345788"," 14.7616214"," 12.9666840","  9.5567465","  0.8071934","198.7283312","  1.2571324","  6.4896857"
"P4HB","255.13179","193.47799","308.07344","299.42723","183.39942","943.23458"," 83.32250"," 87.04902","100.76069","222.70728"
"RAB40B"," 11.475728","  6.881298","  8.015707","  6.561748"," 11.890394"," 11.640437","  2.727978","279.826008","  3.150002","  6.647522"
"YES1"," 11.202096","  3.248760","247.014915","  1.968415","  2.319961"," 45.701769"," 11.585103"," 43.391247","  5.004491"," 73.263478"
"MYL12A","295.99695","768.00022","774.04302","538.55397","424.59585","663.43081","642.78509"," 89.87751","725.42290","130.54796"
"MYL12B","179.1354","513.2923","942.3533","413.3582","415.8537","459.1946","444.8380","172.5112","376.9362","391.7593"
"ANKRD12","278.80373","227.09409","201.45048","164.16370","172.21291"," 77.26124","255.86576","218.65252","308.36589"," 86.98924"
"CDH2","  2.986040","  5.882739","241.709665","  2.746150","  2.511011"," 43.507098","  1.610669"," 74.462447","  2.056832","350.808639"
"RPL17","1324.5115","1737.6559"," 994.6923","1643.4215","2095.8013","3483.8487"," 713.4312"," 547.8188","1260.0808"," 504.9502"
"TCF4"," 175.614075"," 120.727991","1051.996760"," 146.304933"," 196.959552"," 356.447486","   8.460163"," 266.521169","   8.337548"," 438.733066"
"SEC11C","711.40597"," 75.58747"," 67.16102"," 85.97211"," 89.98546"," 53.77580"," 73.84094","220.48665"," 87.01164","218.45452"
"CNDP1","  1.0026232","  0.3831468","  0.6242821","  0.9620755","  0.5893283","  1.1156429","  0.4529521","613.6818719","  0.0000000","  1.0645105"
"MBP","  54.15247"," 160.37003","  31.68971"," 147.59967"," 191.80169","  59.48144"," 162.12858","2318.21783"," 115.96612","  33.44599"
"GZMM"," 25.0280672"," 14.9019799","  5.6651460","  2.5225280","  2.9025549","  3.5353401","304.6063489","  2.3415262"," 97.4572174","  0.7542257"
"CFD"," 30.265974"," 81.344862","  7.287514","754.492744","271.135417","  8.397523","  9.994072","  6.044324","  9.717990","  2.915947"
"LSM7","164.5459","184.7645","120.9344","141.8970","155.0579","235.3057","122.8275","120.0511","131.6394","581.1837"
"TIMM13"," 70.69249","113.54319","119.65989","144.87509","113.41421","266.72664"," 34.10102","117.07798"," 51.09502","423.80703"
"TUBB4A","  0.79156850","  0.68062430","  1.94068139","  0.24438760","  2.18010147","  3.44453707","  0.30672370","427.12313791","  0.05522132","  8.46921192"
"C3","  79.58996"," 594.82461","  34.91248","1037.94946","2068.95193","  61.24241","  15.39717","  37.93284","  10.80495","  19.92450"
"INSR"," 16.265067"," 32.399950","729.045362"," 20.734795"," 13.915479"," 24.113180","  0.888434"," 81.518483","  1.538370"," 17.063478"
"ELAVL3","  2.3084816","  0.8344332","  2.5924880","  0.8397416","  1.2261067","  6.1314221","  0.7035792","252.4827384","  1.5082614"," 45.9058276"
"JUNB","1070.5684","1492.1174"," 739.0188","1042.0003","1893.8317"," 615.3748","1534.6392"," 394.3544","1847.8962"," 489.6264"
"PRDX2"," 184.98902"," 100.36295"," 174.14973","  96.01219"," 138.97086"," 246.04620","  96.01916"," 207.47612"," 162.78904","1120.65182"
"DNASE2"," 57.187034"," 90.480634","  7.532464","403.193303","272.219435"," 30.688407"," 17.838460"," 20.632244"," 19.741349"," 52.959024"
