"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"PYCARD",0.37522604,2.27689429,0.20487805,1.8728997,2.05817495,0.14177441,0.62672811,0.07991419,0.54886028,0.06165779
"LPCAT2",0.04159132,1.01496726,0.21853659,0.87571909,1.66292032,0.04725814,0.02947165,0.1646554,0.02416631,0.03155196
"MT3",0.4312839,0.3807297,1.4195122,0.9361793,0.5060307,3.8065091,1.1372843,4.7677662,0.9632756,23.3693059
"MT2A",1.371609,3.83536,28.789268,12.856553,5.170657,62.250557,5.929375,13.539287,5.811946,31.244478
"MT1X",0.2983725,0.4303087,2.7580488,3.6838013,0.9364644,4.5434686,1.1178866,1.7943148,0.9298227,7.1064057
"HERPUD1",6.8571429,4.7923293,2.9346341,3.0173435,3.2348623,1.2233616,2.3543029,0.8750335,1.9967286,0.5287254
"CDH5",0.004520796,0.002806361,2.284878049,0.003303526,0.001705653,0.024966563,0.001500375,0.002949853,0.002954833,0.014954315
"CKLF",0.4358047,3.2254443,0.8009756,1.5972547,1.7056835,0.571556,1.7405423,0.5071065,2.1361334,0.6105469
"GCSH",0.079566,0.1562208,0.2419512,0.1808111,0.203125,0.5849309,0.107384,1.7873425,0.1251583,1.3535134
"COTL1",1.278481,7.0935454,1.8917073,4.4371191,3.6088572,0.9447169,3.3964205,0.4403325,2.4671802,1.0439427
"CYBA",6.5614828,9.6913003,3.204878,8.6898673,9.8008346,2.0392332,6.7980924,0.5607401,5.3693542,0.3803162
"APRT",0.9475588,1.7408793,1.0302439,1.242382,1.1758041,1.0905038,1.8922945,0.7103781,1.9924019,0.7968678
"CXCL16",0.12658228,1.51075772,0.09560976,1.68807313,2.01181774,0.11457869,0.07694781,0.10726736,0.06563951,0.15702031
"CD68",0.2893309,1.3910196,0.3190244,3.8339978,3.3821272,0.2924654,0.1989069,0.1965674,0.1782398,0.1518603
"ATP1B2",0.03435805,0.01028999,0.0995122,0.0479296,0.01952364,0.65448061,0.03193656,0.21265755,0.03809624,2.11887859
"SNHG29",0.8273056,1.7128157,1.5580488,1.9269522,2.0141021,2.8716005,0.6303719,0.8576026,0.8878219,1.9562217
"LGALS9",0.11934901,1.18615529,0.30536585,1.19997722,1.41282895,0.06910388,0.13899904,0.06784661,0.15227944,0.03866759
"EVI2B",0.98915009,1.78858746,0.07317073,1.43558125,1.48471004,0.04948729,0.95273818,0.06328774,0.79769945,0.04246368
"CCL5",1.29927667,0.52853134,0.3697561,0.40471037,0.7786306,0.22425323,20.33919194,0.11879861,2.92486281,0.06509236
"CCL3",1.4159132,5.4265669,1.3073171,16.5379051,41.1143092,1.7476594,3.209731,1.2148029,1.3336851,0.5751495
"CCL4",2.5985533,3.3872778,1.2585366,10.0295893,28.8703095,1.1012037,31.2091952,0.9200858,3.7017729,0.4095017
