"","B cells","Dendritic cells","Endothelial cells","Macrophage-like GAMs","Microglia-like GAMs","Mural cells","NKT-like cells","Oligodendrocytes","T cells","Tumor cells"
"COL4A1",0.012721825,0.007511772,1.899738764,0.018268932,0.013950908,1.479821139,0.008496807,0.026186155,0.011222308,0.205523524
"COL4A2",0.00521548,0.005835664,1.577796297,0.015286695,0.012040897,1.241239534,0.007641811,0.024828373,0.007942974,0.215420091
"RNASE1",0.1349413,0.1784031,0.9953397,1.2882168,0.7700705,0.1280841,0.1326017,1.5322593,0.115801,0.1149422
"TRAC",0.22595557,0.09572398,0.04629972,0.03488872,0.02137643,0.04391713,1.07696681,0.01173812,1.26895779,0.02210605
"GZMH",0.115970788,0.046175762,0.020058515,0.023367189,0.016023542,0.009218797,1.301345526,0.008203062,0.124738111,0.005275275
"NOVA1",0.12040353,0.05418235,0.4754994,0.07595694,0.05765657,0.48680558,0.23621913,0.69583184,0.17576935,1.78088908
"NPC2",0.6473978,1.7351935,0.6624656,2.166019,2.3059214,0.7994734,0.6286035,0.7868603,0.4865593,0.3429787
"IFI27",0.0745068,0.0656352,1.96004879,0.27598225,0.25528392,0.48534275,0.05750673,0.05000049,0.06913646,0.21602495
"IGHG2",0.940109899,0.035056822,0.014877305,0.018100655,0.004531825,0.002343957,0.026535857,0.002153415,0.033378868,0.001569348
"IGHA1",1.53960148,0.18859262,0.05962029,0.09784637,0.04540096,0.01951617,0.19246596,0.02084774,0.208344,0.01411727
"IGHG1",2.346404643,0.097552632,0.041581205,0.057492065,0.026823933,0.008419974,0.110753336,0.010276763,0.11871113,0.007733299
"IGHG3",1.309937842,0.058352392,0.022530414,0.03557197,0.02649131,0.015829016,0.057958215,0.013155565,0.072097758,0.006405156
"IGHM",1.185522259,0.041317643,0.009186711,0.013661272,0.008684184,0.006157302,0.037959757,0.003223134,0.037747747,0.004093259
"TPM1",0.02928013,0.10559496,0.89199907,0.12201269,0.12164504,1.58981047,0.05866408,0.18596908,0.06673354,0.41944565
"CTSH",0.37875213,1.12441409,0.16824048,0.71244429,0.7405447,0.08436042,0.05206956,0.03157259,0.15727232,0.03133621
"ISG20",0.96844513,0.44005845,0.15159709,0.13267347,0.06821216,0.15524695,0.97714086,0.61743449,0.9027487,0.09105187
"METRN",0.2406231,0.1375831,0.3796818,0.1536406,0.1411672,0.6376228,0.4328259,0.9306685,0.295317,1.8450088
"IL32",0.25734621,0.17037362,0.51219919,0.06887427,0.04066801,0.15047865,1.76997664,0.02577645,2.08255753,0.05269618
"MT3",0.2333825,0.1926523,0.4739743,0.2819962,0.259862,0.8275147,0.5376196,1.2824456,0.3731248,2.4161636
"HERPUD1",1.7321207,1.4409312,1.0441085,1.0852088,1.1866738,0.6034648,0.9435113,0.458291,0.8526253,0.2872957
"CD68",0.14466087,0.64493879,0.19057326,1.32632304,1.291865,0.17771829,0.10704158,0.10954463,0.1003403,0.08560716
"CCL5",0.34708706,0.18652718,0.13042001,0.15420873,0.2538532,0.06728927,2.77318433,0.03368832,0.74034315,0.02466943
"CCL3",0.448089,0.9522854,0.4945572,1.9339929,2.9554224,0.6385441,0.8963034,0.4181582,0.4674232,0.2416569
"CCL4",0.6465873,0.773203,0.4707674,1.4430032,2.4257952,0.460044,2.6409942,0.3347584,0.7096539,0.1845989
"CCL3L1",0.1280853,0.4004366,0.2393677,0.8540261,1.7203892,0.3105967,0.2203751,0.131295,0.1119369,0.0837913
"CCL4L2",0.14459881,0.34741082,0.21897007,0.73847671,1.57571059,0.29139545,0.52561443,0.1152814,0.12085163,0.07703497
"CNP",0.07306462,0.08365719,0.13040101,0.11289987,0.10424805,0.15159956,0.0572217,2.12544886,0.07879829,0.42421901
"COL1A1",0.01160036,0.01556177,0.07449625,0.01583307,0.01333855,2.03794542,0.01091688,0.02871039,0.01173565,0.05685416
"CNDP1",0.001880146,0.001945221,0.004951389,0.005884642,0.003538525,0.005714479,0.002415088,1.702636568,0.001951557,0.014472205
"MBP",0.2090076,0.523036,0.1059349,0.3913517,0.4804893,0.1255498,0.5807669,2.8436803,0.4313914,0.2289904
"C3",0.194376,0.9634536,0.2826609,1.1115367,1.933153,0.2424808,0.194819,0.179393,0.1428088,0.1497823
"IFI30",0.24817224,0.92357681,0.16011502,1.29648316,1.16959491,0.15032522,0.08195254,0.08440954,0.08153878,0.06050985
"MAG",0.002246751,0.0006484071,0.0051292638,0.0052080873,0.002715125,0.0079014046,0.0028060492,1.8666425729,0.0017911707,0.0134844327
