"","TCGA-06-0210-01A-01R-1849-01","TCGA-06-0190-01A-01R-1849-01","TCGA-06-0211-01B-01R-1849-01","TCGA-19-4065-02A-11R-2005-01","TCGA-14-1034-02B-01R-2005-01","TCGA-06-0190-02A-01R-2005-01","TCGA-06-0125-01A-01R-1849-01","TCGA-06-0211-02A-02R-2005-01","TCGA-06-0125-02A-11R-2005-01","TCGA-06-0210-02A-01R-2005-01","TCGA-19-4065-01A-01R-2005-01","TCGA-14-1034-01A-01R-1849-01"
"CIBAR1-DT",24,11,24,10,12,26,14,20,16,25,18,12
"CIBAR1P1",32,31,62,72,22,52,50,49,31,26,85,26
"CIBAR1P2",0,2,0,1,0,0,0,0,0,2,0,0
"CIBAR2",4,55,0,11,5,18,1,3,3,6,40,5
"CIC",6287,6885,9877,4205,4042,7171,10626,5901,10830,7090,4209,5470
"CICP1",0,0,0,0,0,1,0,0,0,2,0,0
"CICP10",0,0,0,0,0,0,1,0,0,0,0,0
"CICP11",1,2,3,0,0,3,1,0,0,1,0,0
"CICP12",0,0,1,0,0,2,0,0,0,0,0,1
"CICP13",2,0,1,0,1,0,4,4,2,1,2,0
"CICP14",831,537,878,427,269,591,1203,486,388,643,523,162
"CICP15",1,0,1,1,1,3,3,0,1,1,0,0
"CICP16",13,5,15,9,3,7,26,9,6,15,2,1
"CICP17",0,1,1,0,0,0,0,0,0,0,2,0
"CICP18",0,0,0,0,0,1,0,0,0,1,0,1
"CICP2",0,0,0,0,0,0,1,0,0,0,0,0
"CICP20",0,1,2,1,0,2,3,2,3,2,1,0
"CICP21",0,0,0,0,1,0,1,0,0,0,1,0
"CICP22",8,3,5,2,1,0,7,1,2,4,1,0
"CICP23",1,0,1,2,0,1,4,0,0,2,0,0
"CICP24",0,1,0,1,0,0,1,0,0,0,1,1
"CICP25",0,1,2,2,1,1,0,1,0,1,3,0
"CICP26",4,1,1,0,1,0,5,0,0,2,2,0
"CICP27",3,1,3,1,1,1,0,5,1,5,1,0
"CICP28",1,1,1,0,1,0,1,0,0,1,0,0
"CICP3",4,1,5,2,1,1,4,0,7,2,1,0
"CICP4",1,0,2,2,0,0,5,0,0,1,0,0
"CICP5",3,1,4,1,2,3,1,2,1,2,2,0
"CICP6",0,3,0,0,2,0,2,1,0,0,1,1
"CICP7",2,1,1,0,0,1,0,1,0,1,0,0
"CICP8",0,0,1,1,0,0,0,1,3,1,0,0
"CICP9",0,1,2,1,0,1,1,2,1,1,0,0
"CIDEA",2,8,2,8,1,1,2,1,5,0,2,0
"CIDEB",23,20,20,7,4,30,5,22,5,24,21,25
"CIDEC",8,4,2,4,2,37,2,0,3,4,13,3
"CIDECP1",904,710,1492,592,600,479,758,804,513,718,864,394
"CIITA",1294,1127,1326,736,344,1881,910,1644,727,2561,1039,1375
"CILK1",1268,850,1340,1470,1067,1198,1383,837,1189,1151,998,853
"CILP",85,354,33,30,17,2146,168,46,52,58,37,14
"CILP2",41,114,66,443,28,1776,24,146,13,19,22,4
"CINP",2316,1588,2619,1208,1834,1230,1863,2022,1447,1885,2368,1472
"CIP2A",240,489,1035,647,569,638,682,372,275,347,1120,283
"CIPC",2619,2041,3153,1273,2615,1179,4714,2180,3765,2679,2893,2129
"CIR1",1452,1189,1492,1771,1589,1531,1441,1516,1347,1427,1836,1442
"CIR1P1",1,0,1,2,0,1,0,1,1,1,1,0
"CIR1P2",4,1,1,3,0,0,0,1,0,5,1,0
"CIR1P3",0,0,0,0,0,0,0,0,0,0,1,0
"CIRBP",16033,15008,22014,9440,14871,8403,30521,15728,12615,12112,11887,10926
"CIRBP-AS1",96,52,71,46,56,48,156,55,34,59,72,26
"CISD1",700,827,1014,1361,720,927,697,1117,762,806,2141,676
"CISD1P1",0,0,0,3,1,1,0,2,0,0,0,1
"CISD2",2149,1497,1531,1357,833,1695,1387,2012,1229,1602,2315,1302
"CISD3",1006,636,1067,936,395,660,766,1001,582,1079,1137,630
"CISH",222,353,398,219,61,1145,284,474,318,539,325,134
"CISTR",7,0,17,1,3,1,9,3,0,2,7,0
"CIT",475,1333,1772,3667,2063,2262,1662,663,1928,915,1529,1685
"CITED1",3262,914,4389,241,3883,124,1796,2911,504,1014,4500,1443
"CITED2",1965,4059,3162,1297,1006,3691,2777,2494,6381,1341,2195,1691
"CITED4",38,423,118,154,21,228,166,145,170,108,332,125
"CIZ1",3873,5281,7424,6261,5023,4721,7621,4739,4862,4093,5465,4380
"CKAP2",1244,1119,3780,1780,1830,1410,3084,1656,1398,2272,2526,1256
"CKAP2L",263,562,967,808,677,788,815,373,166,678,898,561
"CKAP2LP1",0,2,0,1,2,0,3,2,3,0,2,2
"CKAP2P1",0,0,0,2,1,0,3,0,1,0,0,1
"CKAP4",5315,4881,5092,11949,1348,13911,5783,4749,4519,5145,4094,3076
"CKAP5",5623,5449,9717,7379,7454,6454,10059,5086,9927,8849,7237,7631
"CKB",25374,13050,67643,13358,21536,1943,59939,28234,36236,28135,21196,28223
"CKBP1",1,0,1,0,1,0,1,0,2,0,0,0
"CKLF",669,429,516,358,448,352,418,506,194,604,1226,364
"CKLF-CMTM1",29,38,56,11,24,23,50,26,25,26,29,25
"CKM",18,29,12,15,12,6,20,27,17,24,38,10
"CKMT1A",1,7,38,246,23,0,24,27,34,7,13,3
"CKMT1B",10,11,76,331,19,2,31,76,38,6,34,7
"CKMT2",145,120,194,129,120,129,145,130,154,109,89,66
"CKMT2-AS1",187,210,229,176,544,194,358,202,335,196,268,297
"CKS1B",795,698,1152,837,451,1058,871,893,425,795,1850,448
"CKS1BP1",5,4,2,11,8,22,0,5,3,5,10,9
"CKS1BP2",2,3,2,1,1,0,1,5,1,3,4,1
"CKS1BP3",4,7,4,6,3,2,8,4,2,7,16,3
"CKS1BP4",2,0,2,0,2,1,2,0,0,0,2,4
"CKS1BP5",0,0,0,0,0,0,0,0,0,0,1,0
"CKS1BP6",0,0,2,4,0,0,1,0,2,0,2,0
"CKS1BP7",2,0,3,7,4,5,1,4,0,2,3,0
"CKS2",446,1060,1247,1988,1979,1037,1195,1128,469,569,3414,840
"CLASP1",5346,4315,6734,2998,4713,3033,7044,3393,5408,4634,4927,3512
"CLASP1-AS1",59,9,66,3,31,8,59,29,10,28,64,12
"CLASP2",4395,3149,11162,3803,4568,1849,8899,6621,6102,6127,5312,2233
"CLASRP",2076,2018,2351,1059,1238,1581,4738,1926,1118,1422,1841,565
"CLBA1",1072,924,1648,493,826,467,1424,1035,606,686,1055,557
"CLC",1,2,0,3,0,7,1,5,1,2,0,0
"CLCA1",2,0,0,1,1,1,0,0,0,0,0,2
"CLCA2",11,44,0,13,11,19,3,0,6,21,22,4
"CLCA3P",6,2,0,0,1,1,1,6,3,0,26,0
"CLCA4",35,16,9,43,1,1,4,6,5,116,20,0
