"","TCGA-26-5133","TCGA-HT-7902","TCGA-VM-A8CF","TCGA-14-1823","TCGA-DU-6393","TCGA-HT-7601","TCGA-14-0789","TCGA-28-2499","TCGA-02-2483","TCGA-TQ-A7RW","TCGA-DU-A6S8","TCGA-32-1970","TCGA-28-5204","TCGA-HT-7480","TCGA-DU-7010"
"AC027796.2",1,6,1,2,1,2,1,2,1,6,0,6,3,7,0
"AC027796.3",1,2,3,0,3,0,0,2,0,0,1,3,0,0,0
"AC027796.4",19,109,27,19,52,23,11,25,10,49,67,48,6,62,15
"AC027796.5",3,8,1,0,7,0,3,2,2,0,1,9,3,5,1
"AC027801.1",0,0,0,0,2,3,0,0,1,1,1,1,0,1,3
"AC027801.2",7,3,0,2,2,6,6,5,9,3,1,2,7,3,1
"AC027801.3",0,3,2,0,1,5,1,0,1,5,3,2,1,4,3
"AC027801.4",0,2,0,0,3,0,0,0,0,0,1,1,0,1,1
"AC027804.1",0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"AC027807.1",10,4,3,6,4,10,2,7,3,8,7,3,4,6,6
"AC027807.2",1,0,13,0,0,1,0,0,3,24,1,1,0,0,0
"AC027808.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC027808.2",0,1,1,0,1,0,0,0,0,1,1,1,1,6,0
"AC027811.1",4,6,0,0,5,3,0,0,3,1,0,1,0,0,1
"AC032011.1",6,26,8,9,11,19,3,9,9,19,8,19,3,14,21
"AC032019.1",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"AC032019.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC032044.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC032044.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034102.1",146,78,222,122,152,212,216,158,164,117,59,152,404,81,224
"AC034102.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034102.3",2,7,2,1,14,1,0,1,0,1,3,3,3,2,3
"AC034102.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034102.5",2,7,11,5,5,3,1,3,3,4,8,4,0,5,3
"AC034102.6",8,13,0,0,10,6,4,6,3,11,9,11,4,17,15
"AC034102.7",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AC034102.8",2,11,23,2,16,10,3,7,2,9,9,4,1,18,7
"AC034105.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034105.2",1,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"AC034105.3",1,1,1,1,0,2,2,0,1,0,1,1,0,0,1
"AC034105.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034105.5",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"AC034110.1",0,4,0,0,0,0,0,0,0,0,1,2,3,0,1
"AC034111.1",0,1,2,0,1,0,0,0,0,1,0,0,0,0,0
"AC034111.2",1,0,0,0,4,0,0,3,1,0,0,1,0,0,0
"AC034114.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC034114.2",2,4,12,11,6,2,1,9,6,4,3,3,1,3,8
"AC034139.1",14,51,0,15,54,41,19,44,6,11,10,25,46,68,35
"AC034148.1",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AC034154.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034159.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034159.2",1,13,0,0,0,25,0,0,2,2,2,0,0,1,8
"AC034186.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034186.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034187.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC034193.1",556,1304,1236,267,1340,807,435,432,862,736,1050,660,585,878,805
"AC034195.1",2,4,1,0,9,1,1,0,1,2,3,1,0,0,1
"AC034198.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034198.2",14,40,28,2,43,15,9,7,34,37,27,14,6,41,21
"AC034199.1",1,0,0,0,1,12,8,4,1,2,0,2,4,1,1
"AC034205.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034205.2",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"AC034205.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034206.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC034207.1",11,1,1,15,8,1,10,13,18,3,4,5,24,3,3
"AC034213.1",1,0,0,1,0,0,2,0,0,0,0,2,1,0,0
"AC034216.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034222.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC034222.2",0,3,0,0,2,0,0,0,0,0,0,1,0,1,0
"AC034223.1",0,0,0,0,1,0,0,0,3,0,0,1,0,1,0
"AC034223.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034226.1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"AC034228.1",19,139,168,78,179,92,6,104,13,83,75,103,18,178,57
"AC034228.2",0,3,3,0,7,3,0,2,1,1,6,1,0,5,0
"AC034228.3",0,1,2,0,1,0,0,0,0,4,0,2,0,6,1
"AC034228.4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"AC034229.1",0,2,1,0,0,0,0,0,0,1,0,1,0,3,1
"AC034229.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034229.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034229.4",1,15,13,2,4,1,2,2,4,4,9,2,1,5,3
"AC034229.5",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC034229.6",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC034231.1",22,35,2,23,87,33,12,27,12,40,34,14,8,72,122
"AC034232.1",8,0,0,0,1,0,1,2,0,0,2,2,1,0,0
"AC034232.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034234.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034236.1",1069,1442,2644,1296,3435,1761,570,736,2332,1195,2155,638,1000,2301,1424
"AC034236.2",96,148,150,78,272,76,59,85,88,98,192,107,36,194,279
"AC034236.3",1,3,6,4,7,2,4,2,2,12,7,3,1,9,8
"AC034238.1",0,0,0,0,0,1,0,0,0,1,2,0,0,0,0
"AC034238.2",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC034238.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC034243.1",1,8,5,31,7,3,3,1,0,4,1,13,23,0,8
"AC034244.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC034244.2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC034245.1",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC034268.1",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC034268.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC035139.1",0,2,2,0,0,2,0,0,1,1,0,0,0,0,1
"AC035139.2",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC035140.1",0,3,1,4,14,0,0,6,1,3,5,4,4,5,7
"AC036101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC036103.1",2,6,0,0,7,1,5,2,0,2,5,2,3,10,4
"AC036108.1",0,6,0,0,0,3,2,2,0,4,2,1,0,5,4
"AC036108.2",4,5,1,1,0,5,1,2,2,4,1,4,1,0,3
"AC036108.3",30,149,8,46,22,128,36,55,27,83,48,84,15,47,225
"AC036111.1",0,8,0,0,0,0,0,0,0,0,1,1,1,2,0
"AC036111.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC036111.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC036164.1",8,1,0,7,2,1,11,8,4,2,6,3,2,5,3
"AC036176.1",81,291,560,216,236,148,89,323,295,128,151,201,147,124,192
"AC036176.2",0,2,0,0,1,1,3,3,2,1,1,1,2,4,1
"AC036176.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC036214.1",26,52,10,17,18,16,18,8,4,18,12,103,20,45,34
"AC036214.2",20,23,17,30,28,35,10,32,30,33,23,26,12,46,44
"AC036214.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC036214.4",2,36,70,13,17,22,12,48,2,20,6,135,5,40,54
"AC036222.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"AC036222.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037193.1",1,5,2,0,0,4,0,1,0,0,1,1,0,0,0
"AC037198.1",0,1,1,1,1,0,3,4,3,0,0,0,1,2,5
"AC037198.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037433.1",0,13,14,109,2,40,2,3,1,7,1,0,2,5,5
"AC037441.1",0,11,1,2,4,2,0,0,0,1,0,1,1,44,4
"AC037441.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037450.1",29,34,3,2,19,32,17,1,31,4,15,10,11,15,34
"AC037459.1",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC037459.2",43,120,30,13,120,65,38,42,19,70,80,74,17,134,112
"AC037459.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037459.4",11,30,10,3,15,13,7,17,9,15,51,15,10,19,19
"AC037471.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037471.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037479.1",0,0,0,0,0,1,0,0,1,0,0,0,0,0,1
"AC037482.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037482.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC037482.3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC037486.1",3,0,0,0,2,4,1,0,1,0,0,0,0,1,3
"AC037487.1",4,2,7,3,4,3,0,5,2,11,21,3,1,17,2
"AC037487.2",0,0,0,0,0,0,1,0,0,0,0,2,0,3,0
"AC037487.3",0,2,6,5,1,0,1,3,1,4,2,1,1,2,1
"AC037487.4",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC039056.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC039056.2",5,0,0,1,0,5,1,1,2,3,0,2,4,1,3
"AC040160.1",14,51,16,5,8,22,33,52,26,76,37,63,11,33,11
"AC040160.2",9,20,37,6,26,7,8,4,8,9,18,8,2,13,11
"AC040162.1",74,177,59,27,134,37,38,80,64,92,79,144,22,130,209
"AC040162.2",4,0,1,3,1,0,1,0,3,2,0,0,0,0,0
"AC040162.3",17,40,36,5,25,9,20,19,15,39,39,42,0,24,22
"AC040168.1",149,337,71,127,450,268,23,126,59,221,214,271,137,379,203
"AC040168.2",0,1,0,0,1,0,0,0,0,0,0,0,0,2,1
"AC040169.1",190,138,234,49,110,56,38,215,203,86,81,103,39,44,176
"AC040169.2",3,14,4,1,5,7,1,2,5,7,4,4,4,8,12
"AC040169.3",9,10,1,2,4,6,6,4,11,4,9,1,1,4,5
"AC040169.4",1,2,0,0,0,0,0,0,2,1,0,2,0,2,3
"AC040173.1",8,1,2,0,1,1,3,0,1,1,2,1,0,2,1
"AC040174.1",2,9,0,0,2,5,7,1,0,1,4,2,1,1,1
"AC040174.2",0,0,0,0,0,0,1,0,0,0,0,0,1,2,0
"AC040896.1",3,9,2,26,2,2,0,14,4,0,3,2,4,1,5
"AC040904.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"AC040914.1",2,1,0,0,3,0,1,2,2,0,0,0,0,0,2
"AC040926.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC040934.1",6,6,3,3,7,1,2,0,2,11,1,4,1,1,1
"AC040936.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC040958.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC040963.1",4,5,1,12,2,5,3,2,17,1,1,7,1,4,17
"AC040970.1",30,63,67,41,12,41,41,42,148,84,82,128,80,39,54
"AC040975.1",0,0,0,0,0,0,0,0,0,0,0,2,0,1,0
"AC040977.1",53,94,111,61,105,72,83,88,147,78,189,72,43,121,92
"AC040977.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC040978.1",1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"AC041005.1",1,468,43,3,13,62,4,0,5,31,9,3,0,25,56
"AC041039.1",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"AC041040.1",2,1,1,0,0,1,3,1,3,0,1,3,2,1,1
"AC044781.1",2,5,4,0,4,3,0,0,5,8,0,0,0,1,2
"AC044784.1",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"AC044787.1",348,379,199,400,548,373,190,147,1041,330,298,183,343,482,749
"AC044792.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC044798.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044798.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044798.3",0,0,0,0,7,0,0,2,0,0,0,0,0,0,1
"AC044802.1",56,21,5,15,79,29,5,24,18,24,18,91,10,24,33
"AC044802.2",0,3,4,2,8,2,0,7,0,7,10,0,1,4,1
"AC044810.1",1,0,0,0,0,0,0,0,3,0,0,0,1,0,0
"AC044810.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044810.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044810.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044810.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044810.6",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC044810.8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044836.1",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AC044839.1",1,9,1,1,1,1,1,2,0,7,4,1,0,12,2
"AC044839.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044839.3",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC044840.1",0,3,0,6,0,0,0,0,1,1,4,2,0,3,0
"AC044849.1",6,3,17,2,5,8,0,5,5,1,3,3,2,5,19
"AC044860.1",9,0,0,1,2,0,0,5,6,10,7,1,4,21,9
"AC044860.2",0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
"AC044860.3",1,1,0,0,0,0,1,0,7,0,0,3,1,2,1
"AC044873.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC044893.1",1,2,0,3,0,70,13,2,0,0,0,2,0,3,5
"AC044893.2",0,0,0,0,1,0,0,2,0,0,0,0,0,0,0
"AC044913.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC044913.2",0,0,0,0,0,0,0,1,0,0,0,3,2,0,0
"AC046129.1",0,0,3,3,0,0,1,1,0,0,1,3,0,0,5
"AC046130.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC046130.2",6,12,3,13,39,20,3,9,7,8,42,10,17,31,16
"AC046134.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC046134.2",205,816,226,253,1302,392,152,485,323,392,488,370,247,1227,613
"AC046143.1",10,15,9,8,15,11,21,10,30,7,8,18,37,12,13
"AC046143.2",10,15,9,2,6,6,5,4,4,7,10,14,7,7,14
"AC046144.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC046158.1",0,3,3,0,0,2,0,1,1,0,0,0,0,0,0
"AC046158.2",1,3,3,0,2,0,0,0,1,1,1,2,0,0,0
"AC046158.3",2,3,0,1,2,2,0,3,0,2,1,4,1,0,0
"AC046158.4",1,1,0,2,2,1,0,0,0,1,0,3,0,1,0
"AC046168.1",15,37,3,2,18,13,4,4,7,39,14,7,5,17,18
"AC046168.2",322,39,9,12,352,41,8,146,169,92,360,37,162,53,15
"AC046176.1",146,192,70,187,300,227,144,159,281,181,203,186,317,303,312
"AC046185.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC046185.2",42,70,2,24,56,50,28,20,41,30,27,40,48,56,56
"AC046185.3",107,129,45,42,97,150,51,29,396,57,81,63,120,85,142
"AC046195.1",2,18,2,3,68,2,2,1,5,31,14,3,1,13,13
"AC046195.2",0,20,0,0,3,2,0,0,0,1,4,0,0,12,4
"AC048334.1",4,2,1,2,2,0,0,0,1,0,0,0,0,1,0
"AC048337.1",0,1,2,1,1,0,1,0,0,1,0,1,0,0,0
"AC048338.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048338.2",0,2,0,0,8,0,0,1,2,1,3,4,1,4,2
"AC048341.1",216,607,274,355,524,145,91,503,234,419,302,534,296,379,433
"AC048341.2",29,55,211,27,148,29,7,31,47,95,63,52,28,67,77
"AC048344.1",0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
"AC048344.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048344.3",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"AC048344.4",58,12,14,23,8,18,12,23,31,8,38,15,6,14,34
"AC048346.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048347.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048351.1",18,10,2,13,16,6,9,37,18,6,15,5,5,24,11
"AC048352.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048380.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048380.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048380.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048380.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048382.1",0,18,4,1,3,6,1,0,6,10,11,5,0,13,7
"AC048382.2",1,3,0,0,3,1,1,2,0,6,3,3,0,13,0
"AC048382.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048382.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048382.5",7,70,40,16,71,67,23,20,26,80,62,15,11,82,53
"AC048382.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC048383.1",0,4,0,6,0,2,2,0,0,3,2,0,0,1,3
"AC048387.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051618.1",1,14,2,0,1,6,0,0,7,1,1,0,0,4,15
"AC051619.1",1,4,0,1,2,0,0,0,0,0,0,5,3,1,0
"AC051619.10",0,1,0,0,1,2,0,0,0,0,0,1,0,7,3
"AC051619.11",7,9,1,2,1,4,2,2,2,2,1,1,3,4,1
"AC051619.2",0,5,1,3,7,0,4,2,2,2,6,11,7,13,6
"AC051619.3",3,99,0,8,8,15,9,6,2,7,4,38,42,0,3
"AC051619.4",1,6,6,0,10,5,1,2,9,3,5,2,2,7,1
"AC051619.5",22,156,47,95,94,28,12,62,23,8,94,92,38,18,3
"AC051619.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051619.7",0,6,6,1,4,3,1,5,4,5,4,3,1,1,0
"AC051619.8",2,2,0,4,1,7,1,4,4,4,0,3,0,5,2
"AC051619.9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051635.1",0,0,0,0,0,0,66,0,0,2,0,20,22,0,1
"AC051649.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051649.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051649.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051649.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051649.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC051649.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC053481.1",0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"AC053481.2",0,0,0,0,1,0,1,0,1,0,0,1,0,1,1
"AC053481.3",0,0,0,0,2,1,0,1,0,0,0,1,1,0,0
"AC053481.4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"AC053503.1",18,13,21,1,1785,86,2,22,43,144,1311,62,32,1034,24
"AC053503.2",3,12,16,16,19,8,6,31,4,1,2,16,8,13,14
"AC053503.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC053503.4",0,0,0,0,0,2,0,1,0,0,0,0,1,0,0
"AC053503.5",6,5,1,1,26,6,3,4,3,6,3,2,3,22,4
"AC053503.6",0,0,0,0,3,0,1,1,0,0,0,0,1,0,0
"AC053503.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC053513.1",9,209,54,3,22,37,2,8,8,55,21,29,7,71,60
"AC053513.2",8,61,2,4,77,20,14,5,3,41,50,25,3,113,17
"AC053527.1",2,1,0,0,5,0,0,0,1,0,1,2,2,6,2
"AC053527.2",35,70,23,15,86,29,19,24,23,24,20,20,11,60,35
"AC053545.1",0,0,0,0,1,0,2,1,0,1,0,0,0,0,0
"AC055714.1",1,9,2,0,1,1,0,0,2,1,1,2,0,7,13
"AC055716.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC055716.2",15,2,1,5,8,7,9,8,4,1,3,7,6,8,1
"AC055716.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055717.1",0,1,2,0,0,0,0,0,1,0,11,4,0,9,1
"AC055717.2",0,0,0,0,2,0,0,0,0,0,0,2,1,0,0
"AC055717.3",0,0,0,1,0,0,0,0,0,0,3,0,0,0,0
"AC055720.1",0,6,1,2,0,5,0,0,2,0,4,2,1,2,1
"AC055720.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055731.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055733.1",0,0,0,1,1,0,5,3,0,0,1,2,9,0,0
"AC055733.2",1,11,39,1,0,0,0,12,0,13,1,2,0,8,7
"AC055733.3",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AC055733.4",1,1,1,1,0,2,0,0,1,4,2,2,0,0,0
"AC055736.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AC055748.1",1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"AC055753.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055758.1",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC055758.2",0,0,0,0,0,1,1,0,0,0,0,0,1,1,0
"AC055764.1",0,0,1,0,0,0,1,0,0,0,0,2,0,0,0
"AC055764.2",8,10,7,6,10,12,3,5,14,2,14,16,9,7,7
"AC055788.1",0,3,3,0,48,0,0,0,7,3,3,0,0,11,0
"AC055788.2",1,5,2,0,10,9,0,0,9,22,0,3,0,7,1
"AC055807.1",0,9,6,0,2,2,0,0,1,0,1,0,0,2,7
"AC055811.1",1,8,1,0,9,5,0,0,0,7,4,4,2,15,0
"AC055811.2",5,13,1,2,14,0,10,9,7,18,8,5,3,22,2
"AC055811.3",0,3,0,2,5,2,0,3,1,1,2,1,1,2,3
"AC055811.4",56,849,7,21,450,126,84,49,41,270,169,133,96,914,174
"AC055822.1",10,28,30,22,12,5,5,1,25,12,14,7,7,14,26
"AC055839.1",2,0,0,0,2,1,0,0,3,2,0,1,1,0,0
"AC055839.2",2632,3985,4772,6753,8069,6759,1888,9817,2390,5244,3165,6488,3260,3673,6789
"AC055840.1",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC055854.1",0,1,1,8,4,4,4,3,3,1,1,1,0,2,1
"AC055855.1",9,31,3,5,7,9,4,8,7,22,32,17,7,35,11
"AC055855.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055860.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055866.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055872.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055872.2",0,0,0,0,2,0,0,3,1,0,0,0,1,1,0
"AC055874.1",1,6,11,14,4,1,63,60,0,6,1,20,73,1,7
"AC055876.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC055876.2",1,1,0,1,0,0,0,0,0,0,0,2,0,1,0
"AC055876.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055876.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC055876.5",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC055878.1",0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
"AC058791.1",1,2,9,0,5,0,1,2,2,5,1,6,1,1,4
"AC058822.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC058823.1",0,0,0,0,0,0,0,0,1,2,0,1,0,0,0
"AC060234.1",0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
"AC060234.2",1,4,5,2,2,5,1,2,0,16,6,2,1,8,6
"AC060234.3",0,1,0,0,0,1,0,5,0,0,0,0,1,0,2
"AC060764.1",0,0,0,8,0,3,4,2,6,0,0,2,2,0,2
"AC060765.1",0,0,0,1,0,0,0,0,0,1,0,0,0,6,1
"AC060765.2",2,0,1,0,2,2,0,0,4,2,0,1,0,4,0
"AC060766.1",7,8,4,27,10,28,36,67,15,18,7,60,52,8,13
"AC060766.2",0,0,0,3,0,0,0,1,0,2,0,0,0,0,0
"AC060766.3",2,0,0,2,0,1,0,0,1,0,0,2,1,0,1
"AC060766.4",5,14,13,54,7,16,29,39,24,10,4,45,48,5,12
"AC060766.5",1,4,2,3,1,1,11,2,1,8,0,5,5,1,1
"AC060766.6",0,1,0,4,1,2,6,9,4,0,3,4,1,3,1
"AC060766.7",6,2,6,19,5,7,14,28,12,20,4,30,25,10,7
"AC060771.1",1,1,0,0,0,0,0,1,0,0,0,0,0,5,0
"AC060773.1",0,0,0,0,1,0,1,0,1,1,0,1,2,0,0
"AC060780.1",600,1376,1124,273,2113,481,253,860,407,1208,1390,946,325,2289,806
"AC060780.2",7,7,0,2,22,1,3,6,2,14,14,4,3,27,3
"AC060780.3",6,24,0,7,25,3,2,9,6,16,8,19,6,46,9
"AC060788.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC060809.1",1,1,0,0,2,0,0,0,1,0,0,0,0,4,1
"AC060814.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC060814.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC060814.3",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"AC060814.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC060814.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC060834.1",1,0,0,0,2,0,1,0,3,0,1,70,2,29,1
"AC060834.2",2,0,1,187,0,0,0,0,0,0,0,4,0,0,0
"AC061708.1",4,127,40,3,34,39,3,6,8,67,17,16,3,42,36
"AC061709.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC061709.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC061709.3",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0
"AC061958.1",2,13,14,4,0,12,0,0,10,7,0,0,0,2,6
"AC061961.1",9,40,13,1,23,7,0,1,5,45,10,11,2,86,25
"AC061965.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC061965.2",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"AC061975.1",1,10,5,0,48,15,2,0,2,6,53,5,1,14,9
"AC061975.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC061975.3",0,1,0,0,14,1,0,0,0,1,2,0,0,3,0
"AC061975.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
