"","TCGA-26-5133","TCGA-HT-7902","TCGA-VM-A8CF","TCGA-14-1823","TCGA-DU-6393","TCGA-HT-7601","TCGA-14-0789","TCGA-28-2499","TCGA-02-2483","TCGA-TQ-A7RW","TCGA-DU-A6S8","TCGA-32-1970","TCGA-28-5204","TCGA-HT-7480","TCGA-DU-7010"
"HDHD3",57,600,346,724,107,221,459,1150,116,216,159,908,735,281,190
"HDHD5",3464,2905,860,1445,6281,2200,1971,1918,5163,2134,4945,2140,3837,3580,3296
"HDHD5-AS1",25,33,30,6,37,9,15,8,16,16,20,12,20,17,33
"HDLBP",22922,22568,9265,7526,41417,16181,17323,11993,18880,11773,19284,20529,19839,27449,24776
"HDX",307,479,54,264,801,361,227,216,498,307,441,236,569,583,761
"HEATR1",1257,1888,159,906,2996,1978,1468,1261,1360,1235,1625,1495,1502,3134,3477
"HEATR3",824,1253,414,970,1140,1579,798,872,1534,837,968,1080,722,1110,1537
"HEATR4",7,89,12,14,17,22,23,8,6,42,13,83,27,50,13
"HEATR5A",1237,4062,971,1675,2295,5056,1396,1261,1084,2879,839,1694,1659,3326,6410
"HEATR5B",1593,3498,501,923,5967,3547,1372,1250,1614,2511,2632,1632,1507,4182,2883
"HEATR6",1441,2303,388,492,3104,1883,1119,1011,1465,1180,1383,1069,1555,2161,2313
"HEATR9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HEBP1",202,3123,2072,1604,277,1322,1790,2018,1255,1385,310,1380,857,550,1392
"HEBP2",1450,860,941,2372,584,1195,1829,1608,1628,694,767,1403,1466,908,1605
"HECA",1137,2653,885,555,3507,2635,1708,544,1875,2251,1609,1691,859,2896,3376
"HECTD1",2938,8483,1332,1817,15590,7873,3967,2149,4638,6337,4682,4437,4576,11940,8418
"HECTD2",663,1056,255,571,1812,1288,405,662,591,1546,1457,659,554,2192,1009
"HECTD3",3369,4538,1683,1521,3068,2987,2538,3636,2448,2350,2291,3999,3025,2686,4802
"HECTD4",3757,12145,1183,574,16319,8247,2230,1279,2976,7032,6134,3912,2207,15511,8725
"HECW1",113,653,27,12,1077,650,154,10,484,167,904,1380,37,2042,671
"HECW1-IT1",0,0,0,0,0,0,0,0,1,0,2,0,0,4,0
"HECW2",442,3198,520,332,1797,1717,306,207,833,709,1111,328,502,2430,1987
"HECW2-AS1",0,1,1,7,1,2,6,1,1,0,1,0,1,1,0
"HEG1",3308,7626,962,919,5339,7654,1640,4872,1889,3628,1437,5116,3234,5975,8287
"HEIH",151,303,635,404,412,298,224,421,394,211,317,251,548,281,222
"HELB",280,349,51,416,104,201,170,181,144,145,36,273,138,114,198
"HELLPAR",45,20,6,13,34,14,11,6,65,43,27,22,21,23,102
"HELLS",418,244,31,163,821,265,137,66,880,384,345,609,460,298,916
"HELQ",535,767,352,435,986,686,373,628,681,588,304,555,616,648,511
"HELT",0,0,0,0,0,0,0,0,3,0,0,3,0,0,0
"HELZ",2411,4236,960,893,8414,4153,2084,1451,1940,4032,3451,2094,2410,6397,5297
"HELZ2",763,2574,357,338,3996,735,1568,2666,944,1140,912,3177,5451,1374,1881
"HEMGN",2,3,0,2,10,0,1,1,5,0,0,3,2,2,1
"HEMK1",1269,1840,1086,660,2231,1069,450,1465,894,986,2032,1331,832,2466,967
"HENMT1",56,580,158,150,103,419,117,56,158,159,82,100,96,237,159
"HEPACAM",3775,11133,777,1751,12878,5388,3733,6811,744,4154,1195,12330,8544,6130,4462
"HEPACAM2",8,21,21,4,16,9,0,5,7,10,0,11,14,23,1
"HEPH",407,2699,2271,375,631,3832,6037,3052,489,1593,401,1062,405,3505,816
"HEPHL1",7,14,1,3,26,1,4,6,23,16,4,15,4,4,9
"HEPN1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERC1",2719,8997,887,914,6381,6395,1998,1343,2480,6490,5064,2568,2319,11089,6750
"HERC2",946,2595,287,172,1318,1582,691,378,597,1431,938,776,734,3126,1434
"HERC2P10",2,1,0,0,3,2,0,0,0,2,0,0,0,1,0
"HERC2P11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERC2P2",504,1901,382,234,914,464,184,599,196,991,725,1295,514,1205,279
"HERC2P3",49,313,37,11,86,233,52,38,52,308,239,138,50,393,323
"HERC2P4",1,4,7,5,3,38,3,0,1,0,35,4,9,0,5
"HERC2P5",1,2,0,0,0,0,0,1,1,0,4,2,1,0,1
"HERC2P7",1,1,0,2,1,0,0,2,0,1,0,3,0,1,0
"HERC2P8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HERC2P9",6,37,0,8,26,12,1,9,6,32,15,9,4,25,13
"HERC3",41,42,20,10,36,37,22,11,35,21,11,14,17,27,18
"HERC4",1035,3186,902,772,2660,2306,801,827,933,2156,1975,937,829,2794,2641
"HERC5",1101,2104,477,1061,118,567,556,4081,413,463,143,2459,4804,368,901
"HERC6",588,3946,416,768,1371,1721,1118,5005,500,612,237,3262,6073,1249,1276
"HERPUD1",6090,7529,4518,6079,5395,5721,4633,9617,7041,6926,3176,4373,3502,4540,4620
"HERPUD2",1811,2467,1291,1445,2994,1838,1893,3051,1957,1727,1775,2397,3085,2758,2334
"HES1",854,655,571,863,573,556,954,1160,745,556,310,1415,2562,869,844
"HES2",6,0,2,9,1,9,13,8,12,0,11,4,6,1,10
"HES3",1,0,0,1,1,0,0,0,3,1,0,1,0,0,0
"HES4",1128,1535,279,201,255,454,317,259,816,1606,265,484,728,403,992
"HES5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HES6",8517,6185,23046,2583,61083,4631,542,3788,27982,21470,27762,7508,7604,22711,16451
"HES7",32,30,40,2,69,16,7,17,20,40,15,29,10,15,26
"HESX1",76,86,47,102,51,67,35,103,57,83,70,107,110,66,88
"HEXA",1362,1091,922,1193,1208,986,1201,1267,1221,1042,1355,794,1609,1124,866
"HEXA-AS1",22,25,8,7,8,8,4,9,3,24,17,15,4,18,9
"HEXB",2448,1463,1935,5410,2943,2442,3915,5524,4045,2019,1376,2520,5538,1875,1989
"HEXD",924,2213,1878,426,4123,1006,625,857,999,1462,3597,1268,487,2640,1493
"HEXD-IT1",5,31,3,3,30,6,3,7,4,15,19,14,2,29,19
"HEXIM1",3127,2835,1788,1238,3647,3075,3772,1509,2163,1768,3424,1892,1767,2265,1984
"HEXIM2",112,169,135,41,413,96,63,126,91,138,219,110,78,155,141
"HEY1",12620,11897,2709,5421,12344,7975,6715,6484,11071,7779,7677,9105,3208,22761,21385
"HEY2",2288,2310,514,307,696,2821,718,1289,1646,1664,771,480,613,2887,2227
"HEYL",534,2627,159,329,710,446,553,538,1667,174,536,963,1253,1481,733
"HFE",79,368,93,1093,112,392,697,1602,136,127,65,507,1553,174,204
"HFM1",169,296,93,130,455,250,48,194,167,414,281,124,119,500,706
"HGC6.3",3,31,3,0,2,2,5,2,4,14,2,58,2,15,12
"HGD",35,10,7,11,9,7,162,137,12,3,5,143,8,6,12
"HGF",882,226,84,636,78,1274,117,99,305,233,61,294,62,83,1156
"HGFAC",26,244,266,8,163,65,4,85,87,139,94,232,10,98,128
"HGH1",1645,1464,1420,382,2539,1395,805,1917,2519,986,2016,1598,1998,1450,944
"HGS",4869,6733,1104,872,9585,4369,2774,3179,2944,3575,6966,4392,3015,6095,5946
"HGSNAT",1300,4369,2450,1735,6015,4265,3322,3080,2460,3038,3700,3172,2987,5536,4820
"HHAT",0,0,0,1,0,0,1,0,0,0,0,0,0,0,1
"HHATL",39,6111,1887,19,849,1380,44,154,39,271,900,352,36,1256,1656
"HHATL-AS1",3,84,18,3,57,39,7,12,6,12,25,25,21,34,24
"HHEX",246,203,146,399,127,404,315,209,440,366,141,234,227,148,188
"HHIP",111,8518,27,18,233,1554,55,8,77,143,141,135,24,674,1482
"HHIP-AS1",78,288,16,14,68,39,14,8,58,28,26,76,16,73,134
"HHIPL1",95,2109,612,91,847,1408,311,136,258,632,410,563,434,1615,891
"HHIPL2",4,27,6,34,9,19,31,6,7,15,6,10,5,4,13
"HHLA1",0,0,0,0,0,1,1,0,2,0,0,0,0,1,0
"HHLA2",1,18,1,4,4,14,0,2,0,9,1,4,2,7,9
"HHLA3",851,1143,1414,635,605,708,502,1009,543,475,452,1264,503,538,1029
"HIBADH",1446,2875,1688,3438,2930,2086,1906,5369,1810,1975,2045,2928,4165,2549,1788
"HIBCH",987,3587,1177,1222,1778,1371,568,2354,1155,1811,1639,1162,1561,2119,2114
"HIC1",264,145,70,83,237,69,316,183,356,118,152,241,249,126,99
"HIC2",403,745,200,54,1269,458,230,116,567,531,762,301,284,584,732
"HID1",1044,10053,832,235,775,1508,346,588,1650,916,2436,1155,792,2080,3160
"HID1-AS1",8,18,5,6,34,13,3,8,18,14,27,26,10,43,19
"HIF1A",26052,9770,1581,9512,16836,17402,18332,8517,13692,11035,3836,10303,15409,13113,12220
"HIF1A-AS1",65,51,5,14,56,30,13,26,20,30,16,65,37,53,37
"HIF1A-AS3",6,11,2,9,5,2,122,45,34,7,2,3,4,10,4
"HIF1AN",1723,4392,1309,535,7037,3634,1377,1427,2122,2848,2936,1830,1522,4930,3224
"HIF1AP1",0,0,0,0,1,0,0,0,0,1,0,1,0,1,1
"HIF3A",87,1574,3876,33,7435,99,345,855,93,888,367,2187,439,3230,133
"HIGD1A",4631,4285,2665,3869,2307,2986,1580,4900,3961,1276,1937,2088,3210,2526,3410
"HIGD1AP1",51,54,5,55,30,44,28,58,27,6,23,30,54,55,51
"HIGD1AP10",3,0,0,2,1,0,1,6,0,0,1,1,2,0,2
"HIGD1AP11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIGD1AP12",1,0,0,4,0,1,1,2,1,0,0,1,1,2,2
"HIGD1AP13",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"HIGD1AP14",10,29,1,10,12,16,2,14,9,1,7,8,22,15,21
"HIGD1AP15",0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
"HIGD1AP16",3,3,0,0,3,0,0,2,0,0,1,2,1,2,1
"HIGD1AP17",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIGD1AP18",0,0,0,1,4,0,0,0,0,2,2,1,0,2,1
"HIGD1AP2",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"HIGD1AP3",0,0,0,1,0,0,1,1,1,0,0,0,0,0,0
"HIGD1AP4",0,0,0,0,0,0,1,1,3,0,0,0,1,0,0
"HIGD1AP5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIGD1AP6",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HIGD1AP8",0,0,0,0,0,0,1,0,0,0,0,0,0,1,3
"HIGD1AP9",0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
"HIGD1B",169,299,176,194,256,120,99,159,487,142,287,202,397,210,179
"HIGD1C",1,5,9,2,5,0,2,2,1,2,0,10,3,1,0
"HIGD2A",1094,1088,1632,1495,2311,1044,1098,3278,1653,922,1924,1298,1758,1843,1298
"HIGD2B",1,1,1,0,0,0,0,9,0,0,1,1,2,4,0
"HIKESHI",2006,1975,1830,1475,3167,2195,828,1666,3108,1607,1818,1479,1951,1802,1537
"HILPDA",511,654,409,3835,560,457,7366,5162,2430,294,463,593,1316,442,765
"HILS1",75,74,1,0,5,99,40,27,247,1,20,29,78,6,109
"HINFP",1996,1643,1272,714,3274,1392,794,943,1618,1294,1992,1615,1375,1762,1417
"HINT1",5982,7631,5196,11848,8400,6436,4893,15309,13825,5324,7765,7228,11128,7205,8252
"HINT1P1",6,5,5,17,4,6,8,13,13,3,8,3,10,10,4
"HINT1P2",0,2,1,0,0,0,0,0,0,0,0,0,0,1,0
"HINT2",22,39,11,16,25,26,4,21,21,12,14,11,18,32,54
